"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"19","100068_at","Aldh1a1","11668","aldehyde dehydrogenase family 1, subfamily A1",-0.00982977366186955,7.3875796133396,-0.0877719550192232,0.930781856826182,0.968076922169048,-7.733187368673
"20","100084_at","Ezr","22350","ezrin",-0.11818724872585,5.54391165832257,-1.37034872107747,0.183185678773659,0.338093330798543,-6.79736103987477
"21","100089_at","Ppic","19038","peptidylprolyl isomerase C",0.092476167168023,5.04557372094975,0.949438974987011,0.351804824759575,0.528679073671848,-7.27723184616237
"22","100099_at","Smpd1","20597","sphingomyelin phosphodiesterase 1, acid lysosomal",0.0808512566779811,9.96619819067448,1.06147642186948,0.298976256348471,0.474870316652755,-7.16486409031768
"23","100101_at","Snrpa","53607","small nuclear ribonucleoprotein polypeptide A",0.0839019206930161,8.59924820130903,1.17962662544213,0.249641750073589,0.422612136624535,-7.03407717299377
"24","100116_at","Pclaf","68026","PCNA clamp associated factor",0.32048481485841,5.62422654028062,3.27201396601351,0.00320772849637293,0.0177597558331169,-3.13340582268981
"25","100122_at","Gnb5","14697","guanine nucleotide binding protein (G protein), beta 5",-0.300306671719442,8.1215428950329,-3.10989977262656,0.00475121446249128,0.0242122779165832,-3.51128260237437
"26","100123_f_at","Itgb1","16412","integrin beta 1 (fibronectin receptor beta)",0.231728115604414,8.54026790695036,2.45595437551238,0.0216225084178004,0.0756145347575975,-4.93947045769736
"27","100125_at","Pa2g4","18813","proliferation-associated 2G4",-0.172365654948562,5.10414585899185,-2.00543860196433,0.0562483439617537,0.145095646363031,-5.80410238222874
"28","100127_at","Crabp2","12904","cellular retinoic acid binding protein II",0.112337755110787,5.17990462550807,0.889257427434854,0.38263935194344,0.556938615270185,-7.33279295423374
"29","100128_at","Cdk1","12534","cyclin-dependent kinase 1",-0.0876266868984024,6.60977498991531,-0.923489709708839,0.364889651007909,0.53980469134454,-7.30160452958068
"30","100131_at","Scg5","20394","secretogranin V",0.0062741705336018,6.7315675159835,0.0567679349881416,0.955197239826786,0.977202253814333,-7.73551594797547
"31","100133_at","Fyn","14360","Fyn proto-oncogene",0.172711923726238,7.44162142948989,1.86492455391852,0.0743919372583853,0.176721457941317,-6.04869598063171
"32","100134_at","Eng","13805","endoglin",-0.0663841788862056,7.28914868015072,-0.890714472546706,0.381872569163259,0.556225300834884,-7.33148791144839
"33","100138_f_at","Rbm14","56275","RNA binding motif protein 14",0.355749931649779,7.10568849114818,4.92771523552775,4.91588267800947e-05,0.000502204728044535,0.989513042901975
"34","100139_at","Pcsk1n","30052","proprotein convertase subtilisin/kexin type 1 inhibitor",-0.0615108154490667,8.81187607640249,-0.327255776100626,0.746294896021725,0.846754588347701,-7.68165210776864
"35","100142_at","Dgcr2","13356","DiGeorge syndrome critical region gene 2",0.0506862509439916,7.56508370754644,0.644243424539465,0.525491269728214,0.687180891183049,-7.52331060411289
"36","100144_at","Ncl","17975","nucleolin",0.160167805662718,9.08602952250282,1.99766575152402,0.0571392279392818,0.146104535835343,-5.81796851552108
"37","100148_at","Ctcf","13018","CCCTC-binding factor",0.0657403283937743,7.31284152929782,0.695582816040938,0.493331420872073,0.661724585996319,-7.48821455528162
"38","100151_at","Serinc3","26943","serine incorporator 3",0.0603357071837145,8.75622242610545,0.716549783352525,0.480526211628518,0.651074119865289,-7.47313806109851
"39","100153_at","Ncam1","17967","neural cell adhesion molecule 1",-0.198317373002286,9.58102838848639,-1.87403716105999,0.0730768423390843,0.174898895585383,-6.03323102419018
"40","100154_at","Tapbp","21356","TAP binding protein",0.00607549935647267,5.69816095027221,0.0472357631319637,0.962713870173116,0.978451402153882,-7.73603114726047
"41","100155_at","Ddr1","12305","discoidin domain receptor family, member 1",0.0962901625175334,8.40514339825888,0.963634101327068,0.344782230733982,0.520642702343611,-7.26363401814187
"42","100156_at","Mcm5","17218","minichromosome maintenance complex component 5",0.213808918599523,7.39469478468923,2.38908847455492,0.0250498234188038,0.0834299893126383,-5.07485984783359
"43","100213_f_at","Rpl41","67945","ribosomal protein L41",0.119345215088099,12.6647704807915,1.34683246494964,0.190541029441699,0.346669966609647,-6.82820811761146
"44","100290_f_at","Haus6","230376","HAUS augmin-like complex, subunit 6",0.104483939166705,4.30543077115261,0.661411090170393,0.514611589931426,0.677588887939807,-7.51186315586537
"45","100317_at","Ppef2","19023","protein phosphatase, EF hand calcium-binding domain 2",-0.401324350922028,7.38632156307028,-4.05231556934303,0.000457277569026782,0.00365842237799221,-1.22979459666677
"46","100331_g_at","Prdx2","21672","peroxiredoxin 2",0.323846369925455,10.4680128646016,4.10856620531528,0.000396439327711518,0.00321885066082188,-1.08876731440004
"47","100343_f_at","Tuba1a","22142","tubulin, alpha 1A",0.190350446458481,12.0244435230602,2.46838802849605,0.0210350927668464,0.0742792187281517,-4.91404663517938
"48","100346_at","Fgf9","14180","fibroblast growth factor 9",0.029022879396889,5.37031096484902,0.310126402666951,0.759125926185385,0.855441747995545,-7.68730274458096
"49","100369_at","St6galnac6","50935","ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6",0.121655136855326,7.14552338165272,1.29335600863251,0.208125810397907,0.372647874396177,-6.89663802547086
"50","100370_at","Slc12a5","57138","solute carrier family 12, member 5",0.00447979938070908,6.95023433340813,0.0580739608407826,0.954167682107168,0.977202253814333,-7.73543800509527
"51","100381_at","Acta1","11459","actin, alpha 1, skeletal muscle",0.381099391392458,5.64127802149867,2.74412357577197,0.0112646259895007,0.0476883777298708,-4.33161387620222
"52","100386_at","Gnaz","14687","guanine nucleotide binding protein, alpha z subunit",-0.29723724689608,8.01417785569761,-1.58377168443319,0.126257738952632,0.256763401832642,-6.49700076905095
"53","100393_at","Vip","22353","vasoactive intestinal polypeptide",-0.113482825316362,5.19148447168803,-1.11019045174091,0.277851701659776,0.45185619941974,-7.11244664671248
"54","100395_at","Gli2","14633","GLI-Kruppel family member GLI2",-0.14271368450654,5.87960886308135,-1.71766299812842,0.0986594161833139,0.214468421193697,-6.29063125503249
"55","100397_at","Tyrobp","22177","TYRO protein tyrosine kinase binding protein",-0.075556610881204,5.62109590327186,-0.774482690405665,0.446163869839069,0.620353086753874,-7.42925678063121
"56","100398_at","Kif3a","16568","kinesin family member 3A",0.0326684915361959,4.97349950912221,0.266412837332209,0.792183297458762,0.875241525101812,-7.70035619587104
"57","100405_at","Cbx3","12417","chromobox 3",-0.172821799667323,6.94421956597037,-0.845546593578565,0.406107523728111,0.582838722386469,-7.37101053681184
"58","100408_at","Pole3","59001","polymerase (DNA directed), epsilon 3 (p17 subunit)",0.00658700717190364,5.77455184997086,0.0657099476314294,0.94814981746268,0.976419310363839,-7.73494682154241
"59","100410_at","Larp7","28036","La ribonucleoprotein domain family, member 7",-0.0032782978509891,5.50983940649055,-0.0360021163078968,0.971576675911884,0.981398751318951,-7.73651709966562
"60","100422_i_at","Stat5a","20850","signal transducer and activator of transcription 5A",-0.0762802562384888,7.39154038739956,-0.811899302608962,0.424781976696569,0.599922322531426,-7.39919206221018
"61","100427_at","Ptpro","19277","protein tyrosine phosphatase, receptor type, O",0.24004083484651,7.14396268242384,2.55421129295058,0.0173668187017761,0.0659514790489788,-4.73650436500569
"62","100440_f_at","Ank1","11733","ankyrin 1, erythroid",-0.170501042466679,7.94687611031036,-2.38413514778081,0.0253226355336457,0.0837417248042751,-5.08479821193975
"63","100453_at","Camk2b","12323","calcium/calmodulin-dependent protein kinase II, beta",1.21073226961373,8.73583519530484,14.7257150559119,1.46123878091002e-13,1.0598851957534e-11,20.9789629072391
"64","100454_at","Ptpru","19273","protein tyrosine phosphatase, receptor type, U",-0.162743023990682,8.24736410482426,-2.09407653626902,0.0469267433271944,0.127640741849969,-5.64329824863866
"65","100455_at","Snap91","20616","synaptosomal-associated protein 91",0.0684568775440395,7.15903321441933,0.566751591175518,0.576114287231355,0.726738950153871,-7.57135011361579
"66","100459_at","Rad50","19360","RAD50 double strand break repair protein",-0.0613460319793795,5.69419335516,-0.730846971963561,0.47190593888935,0.643400578335355,-7.46261157014008
"67","100461_at","Polr2j","20022","polymerase (RNA) II (DNA directed) polypeptide J",0.128783934252606,7.66735453375979,1.59843888106466,0.122951274135524,0.251449222292199,-6.47504898674132
"68","100465_i_at","Gm1673","381633","predicted gene 1673",0.241033886739904,8.13431130319126,1.74250862882347,0.0941448763882874,0.207978935046613,-6.25088701266498
"69","100472_at","Enah","13800","ENAH actin regulator",-0.039488146669604,5.67193759916427,-0.369451152071536,0.715011993189919,0.827494810212668,-7.66644980264074
"70","100474_at","St8sia2","20450","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2",0.0779422796523708,7.40024550747146,0.988517811864389,0.332702639416746,0.509963633974335,-7.23934720417774
"71","100475_at","Trim25","217069","tripartite motif-containing 25",-0.047245084893671,5.89318719488091,-0.596142528951743,0.556628210882677,0.711646878308287,-7.55383216341194
"72","100479_at","Dnmt3a","13435","DNA methyltransferase 3A",0.160575520989281,5.92098271625589,1.35371452053781,0.18836492216681,0.34443871481931,-6.81922811490708
"73","100486_at","Ezh1","14055","enhancer of zeste 1 polycomb repressive complex 2 subunit",0.0599138828821157,6.23365885352505,0.618165281917452,0.542254226685093,0.700264212027752,-7.54014261815487
"74","100489_at","Pde7a","18583","phosphodiesterase 7A",0.215423300613963,5.96119327365104,2.26458764890359,0.0327923121806901,0.0996593174653374,-5.32070452745888
"75","100491_at","Slc16a2","20502","solute carrier family 16 (monocarboxylic acid transporters), member 2",0.158419741617077,6.3081093736094,2.0437097118511,0.052038847813958,0.136924465348455,-5.73527237629693
"76","100494_at","Fgf1","14164","fibroblast growth factor 1",0.0284026239750412,6.31556749005766,0.379489201145547,0.707641904351975,0.824582905926053,-7.66256507910083
"77","100495_at","Dvl2","13543","dishevelled segment polarity protein 2",0.0408167793536904,6.79308126470866,0.542398162214556,0.592515888561913,0.739104199221615,-7.58521205416539
"78","100498_g_at","Stx3","20908","syntaxin 3",-0.210399231461739,7.74718359086322,-1.5905846365341,0.124712829990212,0.254573281480957,-6.48682448926535
"79","100505_at","Rit2","19762","Ras-like without CAAX 2",-0.119199117505474,5.58353698958248,-1.21572848092196,0.235841943678585,0.407591974395347,-6.99165764877398
"80","100508_at","Mfng","17305","MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase",0.628291606573477,7.71710870742481,6.32184168932582,1.51060785734838e-06,2.38194398376093e-05,4.5014423999235
"81","100510_at","Sncb","104069","synuclein, beta",-0.19084652438975,8.36884433840374,-2.09857145309264,0.0464930833131342,0.126619460937897,-5.63501454010326
"82","100521_at","Ovgp1","12659","oviductal glycoprotein 1",-0.0250887238470732,5.78473305250571,-0.264353389996405,0.793751100986999,0.876282057747669,-7.70092265733099
"83","100522_s_at","Tceal9","22381","transcription elongation factor A like 9",0.272695706161372,8.65261226191335,2.81468741641231,0.00956351171271781,0.0416204029737479,-4.17725942857636
"84","100530_at","Ralgds","19730","ral guanine nucleotide dissociation stimulator",0.314524176904788,8.34733803742416,4.00672127697464,0.000513303925740002,0.0039749086918514,-1.34383697383286
"85","100539_at","Acot7","70025","acyl-CoA thioesterase 7",0.285246420094834,8.25888858170281,2.89325975721756,0.00795644279467596,0.0362201245213701,-4.00307822431443
"86","100540_at","Lta4h","16993","leukotriene A4 hydrolase",0.476909525414951,8.01481715578947,5.16570899872811,2.6858933355479e-05,0.00030126308753362,1.59584577843985
"87","100543_s_at","Brd7","26992","bromodomain containing 7",0.245038526113245,7.90352727258245,3.26083742736353,0.00329635791508656,0.0181591767676667,-3.15970244117158
"88","100553_at","Trim27","19720","tripartite motif-containing 27",0.139826826155633,7.61370665453699,1.92915108375092,0.0655462727590131,0.161344671406802,-5.93850880530988
"89","100554_at","Pdlim1","54132","PDZ and LIM domain 1 (elfin)",0.00654807150309011,5.48586364397445,0.0893225777241498,0.929562367992917,0.96754614000307,-7.73304469174344
"90","100555_at","Rcan1","54720","regulator of calcineurin 1",0.737152707203704,7.35846277657027,7.8687181274727,4.05046241694603e-08,9.47721098846727e-07,8.18217909928945
"91","100561_at","Iqgap1","29875","IQ motif containing GTPase activating protein 1",-0.283328487623927,5.61422742059811,-2.23382560975145,0.0350148514352278,0.103945861832272,-5.3801433664397
"92","100568_at","Abce1","24015","ATP-binding cassette, sub-family E (OABP), member 1",0.144347827939959,7.91164744173242,1.93316974923953,0.0650247420436085,0.160788453053287,-5.93152310899837
"93","100570_at","Nub1","53312","negative regulator of ubiquitin-like proteins 1",0.0326335365953856,7.3287670711326,0.379180612367653,0.707868046079902,0.824582905926053,-7.66268603616976
"94","100571_at","Laptm4b","114128","lysosomal-associated protein transmembrane 4B",0.0257264922686478,9.8596421007115,0.346135936126304,0.732238690333261,0.838769238615204,-7.67507526510498
"95","100573_f_at","Gpi1","14751","glucose phosphate isomerase 1",-0.174181338324762,7.81511058806181,-1.35169762955857,0.189000635777345,0.345310985265746,-6.82186391460958
"96","100575_at","Naa10","56292","N(alpha)-acetyltransferase 10, NatA catalytic subunit",0.385984873580391,5.64835372319974,3.68362178281524,0.00115861709382005,0.00785405232446239,-2.14360063894784
"97","100576_at","Pafah1b3","18476","platelet-activating factor acetylhydrolase, isoform 1b, subunit 3",0.402283162713928,8.54587598078651,3.2940057196052,0.00304001941945036,0.0171820318356467,-3.08156227707391
"98","100595_at","Ptp4a2","19244","protein tyrosine phosphatase 4a2",-0.195638161504012,8.05921290949065,-1.86758585448209,0.0740057603338308,0.176238423931695,-6.04418532133161
"99","100599_at","Atf4","11911","activating transcription factor 4",-0.133287887836602,9.62131233564102,-1.65812117539158,0.110230392579456,0.234011057807705,-6.3840495928056
"100","100600_at","Cd24a","12484","CD24a antigen",0.561867884210546,8.33973476029565,5.51377098744172,1.11599788150065e-05,0.000142012361996808,2.47958670905958
"101","100603_at","Dync1i2","13427","dynein cytoplasmic 1 intermediate chain 2",0.0168114281644307,5.68465354748237,0.134322329236644,0.894261120754559,0.946915911806287,-7.7278168975538
"102","100606_at","Prnp","19122","prion protein",0.192937969555057,9.8875661350969,2.49375443940338,0.0198822301947495,0.0718666659531145,-4.86194197855061
"103","100607_at","Pld3","18807","phospholipase D family, member 3",0.151597221964144,7.80531724289427,1.87904151296883,0.0723632681595527,0.174377044867316,-6.0247142608072
"104","100612_at","Rrm1","20133","ribonucleotide reductase M1",0.179169288367302,7.49506469237642,2.38862917308817,0.0250750059790742,0.0834299893126383,-5.07578192659493
"105","100616_at","Cenpa","12615","centromere protein A",-0.0260031596335022,6.67918145925618,-0.271910298270149,0.788002614352474,0.872243402206394,-7.69882269090656
"106","100622_at","Prdx6","11758","peroxiredoxin 6",0.0645137230374271,7.5932164933573,0.643296196921947,0.52609518001082,0.687557424446573,-7.52393375527978
"107","100629_at","Gstm5","14866","glutathione S-transferase, mu 5",0.26479965719659,7.67759520689847,2.49231005995881,0.0199462693898475,0.0719738716147693,-4.86491730929357
"108","100675_at","Gabrr1","14408","gamma-aminobutyric acid (GABA) C receptor, subunit rho 1",-0.0823561757924409,6.46017489386392,-0.837232370888081,0.410672880362694,0.587524120755569,-7.37807465090193
"109","100688_at","Crybb2","12961","crystallin, beta B2",0.15312863165213,6.55295932017356,0.763464562190021,0.452582481112239,0.626420051488929,-7.43785294223093
"110","100696_at","Pde6a","225600","phosphodiesterase 6A, cGMP-specific, rod, alpha",-1.12897204275439,6.69977405651609,-6.784443062474,4.96072157374271e-07,8.70526624553558e-06,5.63163759217075
"111","100718_at","Ptma","19231","prothymosin alpha",0.346483708380346,9.72898762647957,2.92540988000506,0.00737589434488486,0.0341488214775946,-3.93113522805505
"112","100720_at","Pabpc1","18458","poly(A) binding protein, cytoplasmic 1",0.154805036201598,10.3552735380193,1.03761880665299,0.309728108616126,0.485567985841996,-7.18975429495035
"113","100733_at","Psma2","19166","proteasome (prosome, macropain) subunit, alpha type 2",0.184269855965264,9.51091064082498,1.83735995137157,0.078495754823965,0.182096761723825,-6.09513147198946
"114","100752_at","Rrh","20132","retinal pigment epithelium derived rhodopsin homolog",0.0467368770588896,7.14344451989281,0.592069482245863,0.559308134481122,0.714215863860493,-7.55631119634988
"115","100757_at","Cacnb2","12296","calcium channel, voltage-dependent, beta 2 subunit",-1.2401032162022,6.31252222006055,-9.48654628556049,1.28570971159311e-09,3.88570046170363e-08,11.7049510461551
"116","100758_at","Rps28","54127","ribosomal protein S28",0.207415933330259,11.756377503546,2.14447802601175,0.0422652993049243,0.117845326841016,-5.54971565073727
"117","100774_at","Synj2bp","24071","synaptojanin 2 binding protein",-0.114707888430765,5.78804685119661,-1.11387637381427,0.276298360798321,0.451370295117977,-7.10839395382403
"118","100780_at","Rps4x","20102","ribosomal protein S4, X-linked",0.292673997258488,10.4217302788652,3.28873660462368,0.00307941094855145,0.0172700985155875,-3.09399576881282
"119","100877_at","1810058I24Rik","67705","RIKEN cDNA 1810058I24 gene",0.114417351675905,7.58758176298602,1.07211198935519,0.294269439894491,0.470697613254569,-7.15360213486211
"120","100880_at","Gbp7","229900","guanylate binding protein 7",-0.107180959491261,4.67721767045709,-1.11529892136753,0.275700549649903,0.450732078165432,-7.10682661360257
"121","100885_at","Nek2","18005","NIMA (never in mitosis gene a)-related expressed kinase 2",-0.0970476876975246,6.58405830109231,-1.09042474902302,0.286289290075756,0.460705731694714,-7.13397196316466
"122","100887_at","Smc6","67241","structural maintenance of chromosomes 6",-0.0321199854699383,5.68742666210669,-0.325884362664947,0.747319482295357,0.846905760177448,-7.68211559828266
"123","100890_at","Chaf1b","110749","chromatin assembly factor 1, subunit B (p60)",-0.0189079566666894,7.20833906057702,-0.179246903108848,0.859239558332952,0.923311248855558,-7.72050299229632
"124","100900_at","Hcfc1","15161","host cell factor C1",0.158357084447857,7.91791797563175,1.55006499913985,0.134135680835724,0.269509918281196,-6.54682386787515
"125","100903_at","Parp2","11546","poly (ADP-ribose) polymerase family, member 2",0.561812011859905,7.3537450203678,5.89203336587629,4.34234273625709e-06,6.17577633601009e-05,3.43245353105557
"126","100907_at","Kcne1l","66240","potassium voltage-gated channel, Isk-related family, member 1-like, pseudogene",0.384549784525637,7.11969936003599,4.05229381829177,0.000457302797249026,0.00365842237799221,-1.2298490601448
"127","100914_at","Gm2889","100040658","predicted gene 2889",-0.0980290933559704,7.63073864302431,-1.03815971222442,0.309481367447409,0.485530970126576,-7.18919570421169
"128","100923_at","Myo10","17909","myosin X",-0.120420964161139,6.40834958810281,-1.52908985557814,0.139238913293897,0.276950525893528,-6.57738497468277
"129","100927_at","Pltp","18830","phospholipid transfer protein",-0.273455593628153,6.58406552962125,-2.2391034391916,0.034624070318044,0.103349762705163,-5.36998325228972
"130","100946_at","Hspa1b","15511","heat shock protein 1B",-0.311612838800161,5.99126168619872,-3.4591959617774,0.0020253299273732,0.0122675146011327,-2.68812432835857
"131","100948_at","Ank","11732","progressive ankylosis",0.025804181245892,7.45602249148422,0.342433479898938,0.734987817954105,0.840427478648519,-7.67639379663244
"132","100953_at","Timeless","21853","timeless circadian clock 1",0.0404439588684262,6.59063708375581,0.452425565842376,0.655001302430195,0.786064682189057,-7.63125557075368
"133","100955_at","Ube2t","67196","ubiquitin-conjugating enzyme E2T",0.109371629576951,3.84515275645896,0.749643943565751,0.460711607605454,0.630743469413828,-7.4484695548584
"134","100957_at","Ssbp1","381760","single-stranded DNA binding protein 1",0.0988970390766291,6.34777642044669,1.01158993083987,0.321764935682096,0.499757673122228,-7.2163188831965
"135","100958_at","Spata13","219140","spermatogenesis associated 13",0.342283544818296,5.76770486892418,3.0884678660377,0.00500236453259233,0.0250809797763155,-3.56063982735466
"136","100964_at","Vti1b","53612","vesicle transport through interaction with t-SNAREs 1B",0.129598704538626,7.43605349000982,0.976579087386139,0.338461512360781,0.51538995864035,-7.25107093707887
"137","100968_at","Cstf3","228410","cleavage stimulation factor, 3' pre-RNA, subunit 3",0.179462787058188,5.70107608265766,1.87245847970999,0.0733032135909325,0.174898895585383,-6.03591422429342
"138","100970_at","Akt1","11651","thymoma viral proto-oncogene 1",0.170409393787225,7.84022946606473,1.97784126359758,0.0594680979032609,0.150994843684359,-5.85315885989302
"139","100974_at","Ssbp4","76900","single stranded DNA binding protein 4",0.0666458363180453,7.88557015476043,0.639277972587746,0.528661208407568,0.689255116533774,-7.5265673660547
"140","100976_at","Ptpn9","56294","protein tyrosine phosphatase, non-receptor type 9",0.101468306939168,8.29383224180218,1.16960341259424,0.253577524926645,0.425360133528741,-7.04565255518763
"141","100977_at","Pdk1","228026","pyruvate dehydrogenase kinase, isoenzyme 1",0.102975165807107,6.53726722534509,1.3583416604243,0.186912808014577,0.34264723693321,-6.81316833209248
"142","100979_at","Rnf138","56515","ring finger protein 138",0.215084875047664,6.50895259351453,1.86723038542451,0.0740572408933804,0.176238423931695,-6.04478808675237
"143","100983_at","Prep","19072","prolyl endopeptidase",0.0548554215046355,6.8730687970066,0.732792239697586,0.470740107958791,0.642213463898638,-7.46116396136596
"144","100985_at","Siah1a","20437","siah E3 ubiquitin protein ligase 1A",-0.14452586588822,9.00095840731037,-1.89154083956094,0.0706074095061987,0.171475137372197,-6.00336828189062
"145","100992_at","Phc1","13619","polyhomeotic 1",-0.0272692519192752,7.91182661223063,-0.30333991686804,0.764229254780842,0.858081970280244,-7.68945814023891
"146","100994_at","Aatk","11302","apoptosis-associated tyrosine kinase",-0.0758310516377101,8.11102604097756,-1.06610374444496,0.296921887376523,0.472642302071189,-7.15997679313644
"147","101004_f_at","Srsf3","20383","serine/arginine-rich splicing factor 3",0.217152395790487,7.30819941082661,1.65970702049912,0.109908026121643,0.233782859081813,-6.38159528694169
"148","101006_at","Acat2","110460","acetyl-Coenzyme A acetyltransferase 2",0.0873362484323152,6.66529879745625,0.584056127763058,0.564600006758511,0.71650546922237,-7.56114026892028
"149","101007_at","Mknk2","17347","MAP kinase-interacting serine/threonine kinase 2",0.120842606981516,7.3669654163182,1.33257870371775,0.195110590689602,0.353505949492567,-6.84668171385362
"150","101008_at","Tcerg1","56070","transcription elongation regulator 1 (CA150)",0.0918077151395575,5.33747585875812,1.01934736745504,0.318144057235988,0.495903630763259,-7.20846651310748
"151","101023_f_at","Sdhaf1","68332","succinate dehydrogenase complex assembly factor 1",0.16783559633658,7.8946557685016,2.36909546224647,0.0261677930000607,0.0860137727615287,-5.11489557003186
"152","101027_s_at","Pttg1","30939","pituitary tumor-transforming gene 1",-0.255693476493251,8.06845497306141,-3.28371701175111,0.00311739646625327,0.0173934736168387,-3.10583343482895
"153","101028_i_at","Actc1","11464","actin, alpha, cardiac muscle 1",-0.286575320808155,3.04689966629176,-3.13500850554703,0.00447238375598157,0.02312241950136,-3.45327309072919
"154","101030_at","Rhob","11852","ras homolog family member B",0.00568103478120019,6.98447320416813,0.0471305541714667,0.962796854072211,0.978451402153882,-7.73603630682875
"155","101031_at","Surf1","20930","surfeit gene 1",0.0868999453035926,7.16457714231335,1.15844941628743,0.258011096427094,0.430274771459819,-7.05843013048181
"156","101040_at","Capn2","12334","calpain 2",0.14844620633825,6.39353392566481,1.49198682611125,0.148654354939584,0.291864318739964,-6.63060271828185
"157","101044_at","Alad","17025","aminolevulinate, delta-, dehydratase",0.971186065516985,7.58469933900404,9.27167898442292,1.99330989867695e-09,5.86140856692032e-08,11.2568541691809
"158","101045_at","Hsd17b10","15108","hydroxysteroid (17-beta) dehydrogenase 10",0.145653151229057,7.46881936512523,1.9651451550641,0.0610031699053466,0.153815640456587,-5.87556278397857
"159","101047_at","Cd99","673094","CD99 antigen",0.435196146652027,8.33464114877347,3.30760559123274,0.00294058992535455,0.0167505855433809,-3.04943607151564
"160","101056_at","Rdx","19684","radixin",0.351596533885503,7.27481929423013,3.62216558860411,0.00135099541686695,0.00881582369204711,-2.29373771171855
"161","101058_at","Amy1","11722","amylase 1, salivary",-0.00447934646860659,6.65662210604689,-0.0421489733565843,0.966726565227765,0.980697904865089,-7.73626744239976
"162","101060_at","Pdia3","14827","protein disulfide isomerase associated 3",0.181240020863852,6.40869170320486,1.46505650975102,0.15580698156486,0.301633444737665,-6.66854868698464
"163","101065_at","Pcna","18538","proliferating cell nuclear antigen",-0.0588279801911034,7.81378195524677,-0.608679308697843,0.548421424435249,0.703635035124471,-7.54609822476619
"164","101074_at","Ddost","13200","dolichyl-di-phosphooligosaccharide-protein glycotransferase",0.19588046537207,5.83773609273838,1.76575048472627,0.0900822848662188,0.202081496772054,-6.21330778082714
"165","101078_at","Bsg","12215","basigin",0.214944399005343,10.1740113927944,2.25791002131519,0.0332635701677424,0.100669720006964,-5.33365215381113
